$RIVN Rolling 365,
Date,Close
6/1/2022,30.25
6/2/2022,31.94
6/3/2022,30.19
6/6/2022,28.98
6/7/2022,29.72
6/8/2022,29.8
6/9/2022,28.87
6/10/2022,28.36
6/13/2022,26.81
6/14/2022,27.3
6/15/2022,29.08
6/16/2022,26.42
6/17/2022,26.24
6/21/2022,29.07
6/22/2022,28.56
6/23/2022,29.47
6/24/2022,29.5
6/27/2022,28.44
6/28/2022,26.99
6/29/2022,26.27
6/30/2022,25.74
7/1/2022,25.7
7/5/2022,26.86
7/6/2022,29.66
7/7/2022,31.63
7/8/2022,31.99
7/11/2022,29.93
7/12/2022,30.15
7/13/2022,30.76
7/14/2022,30.83
7/15/2022,31.6
7/18/2022,31.8
7/19/2022,31.71
7/20/2022,32.74
7/21/2022,34.13
7/22/2022,32.48
7/25/2022,32.17
7/26/2022,31.69
7/27/2022,32.01
7/28/2022,33.85
7/29/2022,34.3
8/1/2022,34.81
8/2/2022,35.01
8/3/2022,36.59
8/4/2022,36.18
8/5/2022,35.67
8/8/2022,38.09
8/9/2022,36.7
8/10/2022,37.4
8/11/2022,38.95
8/12/2022,38.9
8/15/2022,37.28
8/16/2022,38.23
8/17/2022,36.42
8/18/2022,35.9
8/19/2022,34.45
8/22/2022,33.06
8/23/2022,32.21
8/24/2022,32.56
8/25/2022,32.9
8/26/2022,32.11
8/29/2022,32.31
8/30/2022,31.89
8/31/2022,32.71
9/1/2022,31.95
9/2/2022,32.07
9/6/2022,33.22
9/7/2022,33.25
9/8/2022,36.88
9/9/2022,37.55
9/12/2022,38.74
9/13/2022,38.76
9/14/2022,40.1
9/15/2022,39.69
9/16/2022,39.26
9/19/2022,37.94
9/20/2022,35.75
9/21/2022,35.1
9/22/2022,33.33
9/23/2022,33.56
9/26/2022,33.85
9/27/2022,33.79
9/28/2022,35.08
9/29/2022,32.31
9/30/2022,32.91
10/3/2022,31.89
10/4/2022,36.3
10/5/2022,36.13
10/6/2022,36.76
10/7/2022,33.95
10/10/2022,31.48
10/11/2022,32.33
10/12/2022,32.35
10/13/2022,32.5
10/14/2022,28.71
10/17/2022,30.7
10/18/2022,31.64
10/19/2022,31.5
10/20/2022,30.73
10/21/2022,31.92
10/24/2022,31.34
10/25/2022,34.49
10/26/2022,34.44
10/27/2022,34.5
10/28/2022,34.48
10/31/2022,34.97
11/1/2022,33.48
11/2/2022,31.52
11/3/2022,32.24
11/4/2022,31.99
11/7/2022,31.32
11/8/2022,31.85
11/9/2022,28.07
11/10/2022,32.96
11/11/2022,34.9
11/14/2022,34.38
11/15/2022,35.15
11/16/2022,33.32
11/17/2022,32.07
11/18/2022,30.34
11/21/2022,28.42
11/22/2022,28.94
11/23/2022,29.71
11/25/2022,29.53
11/28/2022,28.64
11/29/2022,28.85
11/30/2022,32.04
12/1/2022,31.48
12/2/2022,31.36
12/5/2022,29.53
12/6/2022,27.89
12/7/2022,27.94
12/8/2022,28.58
12/9/2022,27.29
12/12/2022,25.61
12/13/2022,24.96
12/14/2022,24.54
12/15/2022,23.97
12/16/2022,22.48
12/19/2022,22.03
12/20/2022,21.4
12/21/2022,21.03
12/22/2022,19.73
12/23/2022,19.14
12/27/2022,17.74
12/28/2022,17.74
12/29/2022,18.73
12/30/2022,18.43
1/3/2023,17.34
1/4/2023,17.71
1/5/2023,16.56
1/6/2023,16.4
1/9/2023,16.62
1/10/2023,16.45
1/11/2023,17.08
1/12/2023,17.58
1/13/2023,16.45
1/17/2023,16.93
1/18/2023,16.5
1/19/2023,15.79
1/20/2023,16.23
1/23/2023,18.1
1/24/2023,18.05
1/25/2023,18.69
1/26/2023,18.31
1/27/2023,19.83
1/30/2023,18.04
1/31/2023,19.4
2/1/2023,19.71
2/2/2023,20.88
2/3/2023,19.9
2/6/2023,20.22
2/7/2023,19.91
2/8/2023,20.08
2/9/2023,19.42
2/10/2023,18.85
2/13/2023,18.92
2/14/2023,19.49
2/15/2023,21.15
2/16/2023,20.68
2/17/2023,20.22
2/21/2023,19.08
2/22/2023,19.02
2/23/2023,18.18
2/24/2023,17.32
2/27/2023,18.45
2/28/2023,19.3
3/1/2023,15.76
3/2/2023,15.72
3/3/2023,16.92
3/6/2023,17.13
3/7/2023,14.64
3/8/2023,15.13
3/9/2023,14.53
3/10/2023,14.16
3/13/2023,13.73
3/14/2023,13.21
3/15/2023,13.03
3/16/2023,13.46
3/17/2023,13.01
3/20/2023,13.02
3/21/2023,13.61
3/22/2023,13.29
3/23/2023,13.71
3/24/2023,13.62
3/27/2023,13.31
3/28/2023,12.96
3/29/2023,14.24
3/30/2023,14.4
3/31/2023,15.48
4/3/2023,15.23
4/4/2023,15.38
4/5/2023,14.63
4/6/2023,14.47
4/10/2023,14.81
4/11/2023,14.74
4/12/2023,14.19
4/13/2023,14.37
4/14/2023,13.38
4/17/2023,13.73
4/18/2023,13.43
4/19/2023,12.82
4/20/2023,12.35
4/21/2023,12.25
4/24/2023,12.36
4/25/2023,12
4/26/2023,12.04
4/27/2023,12.67
4/28/2023,12.82
5/1/2023,12.65
5/2/2023,12.68
5/3/2023,12.81
5/4/2023,12.95
5/5/2023,13.41
5/8/2023,13.87
5/9/2023,13.86
5/10/2023,14.11
5/11/2023,13.84
5/12/2023,12.91
5/15/2023,13.44
5/16/2023,13.08
5/17/2023,13.41
5/18/2023,13.54
5/19/2023,13.47
5/22/2023,14.23
5/23/2023,14.2
5/24/2023,14.38
5/25/2023,14.57
5/26/2023,15.14
5/30/2023,14.87
5/31/2023,14.73
