$TSLA Rolling 365,
Date,Close
6/1/2022,246.79
6/2/2022,258.33
6/3/2022,234.52
6/6/2022,238.28
6/7/2022,238.89
6/8/2022,241.87
6/9/2022,239.71
6/10/2022,232.23
6/13/2022,215.74
6/14/2022,220.89
6/15/2022,233
6/16/2022,213.1
6/17/2022,216.76
6/21/2022,237.04
6/22/2022,236.09
6/23/2022,235.07
6/24/2022,245.71
6/27/2022,244.92
6/28/2022,232.66
6/29/2022,228.49
6/30/2022,224.47
7/1/2022,227.26
7/5/2022,233.07
7/6/2022,231.73
7/7/2022,244.54
7/8/2022,250.76
7/11/2022,234.34
7/12/2022,233.07
7/13/2022,237.04
7/14/2022,238.31
7/15/2022,240.07
7/18/2022,240.55
7/19/2022,245.53
7/20/2022,247.5
7/21/2022,271.71
7/22/2022,272.24
7/25/2022,268.43
7/26/2022,258.86
7/27/2022,274.82
7/28/2022,280.9
7/29/2022,297.15
8/1/2022,297.28
8/2/2022,300.59
8/3/2022,307.4
8/4/2022,308.63
8/5/2022,288.17
8/8/2022,290.42
8/9/2022,283.33
8/10/2022,294.36
8/11/2022,286.63
8/12/2022,300.03
8/15/2022,309.32
8/16/2022,306.56
8/17/2022,304
8/18/2022,302.87
8/19/2022,296.67
8/22/2022,289.91
8/23/2022,296.45
8/24/2022,297.1
8/25/2022,296.07
8/26/2022,288.09
8/29/2022,284.82
8/30/2022,277.7
8/31/2022,275.61
9/1/2022,277.16
9/2/2022,270.21
9/6/2022,274.42
9/7/2022,283.7
9/8/2022,289.26
9/9/2022,299.68
9/12/2022,304.42
9/13/2022,292.13
9/14/2022,302.61
9/15/2022,303.75
9/16/2022,303.35
9/19/2022,309.07
9/20/2022,308.73
9/21/2022,300.8
9/22/2022,288.59
9/23/2022,275.33
9/26/2022,276.01
9/27/2022,282.94
9/28/2022,287.81
9/29/2022,268.21
9/30/2022,265.25
10/3/2022,242.4
10/4/2022,249.44
10/5/2022,240.81
10/6/2022,238.13
10/7/2022,223.07
10/10/2022,222.96
10/11/2022,216.5
10/12/2022,217.24
10/13/2022,221.72
10/14/2022,204.99
10/17/2022,219.35
10/18/2022,220.19
10/19/2022,222.04
10/20/2022,207.28
10/21/2022,214.44
10/24/2022,211.25
10/25/2022,222.42
10/26/2022,224.64
10/27/2022,225.09
10/28/2022,228.52
10/31/2022,227.54
11/1/2022,227.82
11/2/2022,214.98
11/3/2022,215.31
11/4/2022,207.47
11/7/2022,197.08
11/8/2022,191.3
11/9/2022,177.59
11/10/2022,190.72
11/11/2022,195.97
11/14/2022,190.95
11/15/2022,194.42
11/16/2022,186.92
11/17/2022,183.17
11/18/2022,180.19
11/21/2022,167.87
11/22/2022,169.91
11/23/2022,183.2
11/25/2022,182.86
11/28/2022,182.92
11/29/2022,180.83
11/30/2022,194.7
12/1/2022,194.7
12/2/2022,194.86
12/5/2022,182.45
12/6/2022,179.82
12/7/2022,174.04
12/8/2022,173.44
12/9/2022,179.05
12/12/2022,167.82
12/13/2022,160.95
12/14/2022,156.8
12/15/2022,157.67
12/16/2022,150.23
12/19/2022,149.87
12/20/2022,137.8
12/21/2022,137.57
12/22/2022,125.35
12/23/2022,123.15
12/27/2022,109.1
12/28/2022,112.71
12/29/2022,121.82
12/30/2022,123.18
1/3/2023,108.1
1/4/2023,113.64
1/5/2023,110.34
1/6/2023,113.06
1/9/2023,119.77
1/10/2023,118.85
1/11/2023,123.22
1/12/2023,123.56
1/13/2023,122.4
1/17/2023,131.49
1/18/2023,128.78
1/19/2023,127.17
1/20/2023,133.42
1/23/2023,143.75
1/24/2023,143.89
1/25/2023,144.43
1/26/2023,160.27
1/27/2023,177.9
1/30/2023,166.66
1/31/2023,173.22
2/1/2023,181.41
2/2/2023,188.27
2/3/2023,189.98
2/6/2023,194.76
2/7/2023,196.81
2/8/2023,201.29
2/9/2023,207.32
2/10/2023,196.89
2/13/2023,194.64
2/14/2023,209.25
2/15/2023,214.24
2/16/2023,202.04
2/17/2023,208.31
2/21/2023,197.37
2/22/2023,200.86
2/23/2023,202.07
2/24/2023,196.88
2/27/2023,207.63
2/28/2023,205.71
3/1/2023,202.77
3/2/2023,190.9
3/3/2023,197.79
3/6/2023,193.81
3/7/2023,187.71
3/8/2023,182
3/9/2023,172.92
3/10/2023,173.44
3/13/2023,174.48
3/14/2023,183.26
3/15/2023,180.45
3/16/2023,184.13
3/17/2023,180.13
3/20/2023,183.25
3/21/2023,197.58
3/22/2023,191.15
3/23/2023,192.22
3/24/2023,190.41
3/27/2023,191.81
3/28/2023,189.19
3/29/2023,193.88
3/30/2023,195.28
3/31/2023,207.46
4/3/2023,194.77
4/4/2023,192.58
4/5/2023,185.52
4/6/2023,185.06
4/10/2023,184.51
4/11/2023,186.79
4/12/2023,180.54
4/13/2023,185.9
4/14/2023,185
4/17/2023,187.04
4/18/2023,184.31
4/19/2023,180.59
4/20/2023,162.99
4/21/2023,165.08
4/24/2023,162.55
4/25/2023,160.67
4/26/2023,153.75
4/27/2023,160.19
4/28/2023,164.31
5/1/2023,161.83
5/2/2023,160.31
5/3/2023,160.61
5/4/2023,161.2
5/5/2023,170.06
5/8/2023,171.79
5/9/2023,169.15
5/10/2023,168.54
5/11/2023,172.08
5/12/2023,167.98
5/15/2023,166.35
5/16/2023,166.52
5/17/2023,173.86
5/18/2023,176.89
5/19/2023,180.14
5/22/2023,188.87
5/23/2023,185.77
5/24/2023,182.9
5/25/2023,184.47
5/26/2023,193.17
5/30/2023,201.16
5/31/2023,203.93
